category,image,link,price,product_code,product_name
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64275_pc_gaming_hacom_pro_028.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-028-i5-11400f-b560-8gb-ram-250gb-ssd-rtx-3050-650w,23199000,PCGM453,PC GAMING HACOM PRO 028 (I5 11400F/B560/8GB RAM/250GB SSD/RTX 3050/650W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64340_pc_gaming_hacom_35.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-035-i3,16499000,PCGM454,PC GAMING HACOM 035 (I3 12100F/H610/8GB RAM/500GB SSD/RX 6500 XT/500W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_64341_pc_gaming_hacom_amd_pro.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-amd-pro-r5-pro-4650g-b550-8gb-ram-500gb-ssd-radeon-vega-7-600w,12799000,PCGM455,PC GAMING HACOM AMD PRO (R5 PRO 4650G/B550/8GB RAM/500GB SSD/RADEON™VEGA 7/600W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_59612_pc_gaming_hacom_005_hn.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-005-r3,7169000,PCGM372,PC GAMING HACOM 005 (R3 3200G/A320/4GB RAM/120GB SSD/500W)
"PC Gaming, Streaming",https://hanoicomputercdn.com/media/product/250_63595_pc_gaming_hacom_pro_023_2022.jpg,https://www.hanoicomputer.vn/pc-gaming-hacom-pro-023-i5,28499000,PCGM444,PC GAMING HACOM PRO 023 (I5 11400/B560/16GB RAM/500GB SSD/RX 6600/650W)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_57920_kingston_8gb_kdm26es8_8hd.jpg,https://www.hanoicomputer.vn/ram-server-workstation-kingston-ksm26es8-8hd-8gb-ddr4-2666mhz-ecc,1599000,RAKT280,Ram Server & Workstation Kingston (KSM26ES8/8HD) 8GB DDR4 2666MHz ECC
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_51399_hdd_wd_gold_1tb35sata_3128mb_cache7200rpm_wd1005fbyz_01.jpg,https://www.hanoicomputer.vn/hdd-wd-gold-1tb35sata-3128mb-cache7200rpm-wd1005fbyz,2399000,HDWD313,HDD WD Gold (1TB/3.5/SATA 3/128MB Cache/7200RPM) (WD1005FBYZ)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_58143_dell_t40.jpg,https://www.hanoicomputer.vn/server-dell-poweredge-t40-xeon-e-2224g-8gb-ram-1tb-hdd-dvdrw-70233900,16469000,SEDE083,Server Dell PowerEdge T40 (Xeon E-2224G/8GB RAM/1TB HDD/DVDRW) (70233900)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_51401_hdd_wd_gold_2tb35sata_3128mb_cache7200rpm_wd2005fbyz_01.jpg,https://www.hanoicomputer.vn/hdd-wd-gold-2tb35sata-3128mb-cache7200rpm-wd2005fbyz,3299000,HDWD314,HDD WD Gold (2TB/3.5/SATA 3/128MB Cache/7200RPM) (WD2005FBYZ)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_63429_anh_sp_pcws_design_052_2.jpg,https://www.hanoicomputer.vn/pc-hacom-designer-d052-i5,15499000,PCWS235,PC HACOM Designer D052 (i5-10400F/B560/16GB RAM/240GB SSD/Quadro T600)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_58181_dell_t40.jpg,https://www.hanoicomputer.vn/server-dell-poweredge-t40-xeon-e-2224g-8gb-ram-1tb-hdd-dvdrw-42deft040-201,16469000,SEDE084,Server Dell PowerEdge T40 (Xeon E-2224G/8GB RAM/1TB HDD/DVDRW) (42DEFT040-201)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_50745_hdd_wd_gold_6tb_3_5_inch_sata_3_256mb_cache_7200rpm_wd6003fryz_01.jpg,https://www.hanoicomputer.vn/hdd-wd-gold-6tb-3-5-inch-sata-3-256mb-cache-7200rpm-wd6003fryz,6519000,HDWD316,HDD WD Gold (6TB/3.5 inch/SATA 3/256MB Cache/7200RPM) (WD6003FRYZ)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_63428_anh_sp_pcws_design_051_2.jpg,https://www.hanoicomputer.vn/pc-hacom-designer-d051-i3,11499000,PCWS234,PC HACOM Designer D051 (i3-10105F/H510/8GB RAM/240GB SSD/Quadro P620)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_61319_60748_50227_dell_t140.jpg,https://www.hanoicomputer.vn/server-dell-poweredge-t140-xeon-e-2224-8gb-ram-1tb-hdd-dvdrw-idrac9-basic-365w-42deft140-801,25999000,SEDE091,Server Dell PowerEdge T140 (Xeon E-2224/8GB RAM/1TB HDD/DVDRW/iDRAC9 Basic/365W) (42DEFT140-801)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_62105_c06937857.png,https://www.hanoicomputer.vn/workstation-hp-z2-g5-tower-xeon-w-1270p-8gb-ram-256gb-ssd-k-m-linux-9fr63av,33299000,WSHP021,Workstation HP Z2 G5 Tower (Xeon W-1270P/8GB RAM/256GB SSD/K+M/Linux) (9FR63AV)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_61027_may_tram_workstation_dell_precision_3650_tower_cto.jpg,https://www.hanoicomputer.vn/workstation-dell-precision-3650-tower-cto-base-w-1350-16gb-ram-256gb-ssd-1tb-hdd-p620-dvdrw-k-m-ubuntu-42pt3650d07,33799000,WSDE086,Workstation Dell Precision 3650 Tower CTO Base (W-1350/16GB RAM/256GB SSD + 1TB HDD/P620/DVDRW/K+M/Ubuntu) (42PT3650D07)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_60748_50227_dell_t140.jpg,https://www.hanoicomputer.vn/server-dell-poweredge-t140-xeon-e-2234-8gb-ram-1tb-hdd-dvdrw-idrac9-basic-365w-70233889,27999000,SEDE090,Server Dell PowerEdge T140 (Xeon E-2234/8GB RAM/1TB HDD/DVDRW/iDRAC9 Basic/365W) (70233889)
"PC Đồ Họa, Render, Máy Chủ",https://hanoicomputercdn.com/media/product/250_63741_dell_ws_3650_2.png,https://www.hanoicomputer.vn/workstation-dell-precision-3650-tower-i7-11700-8gb-ram-1tb-hdd-t600-dvdrw-k-m-ubuntu-42pt3650d13,30699000,WSDE089,Workstation Dell Precision 3650 Tower (i7-11700/8GB RAM/1TB HDD/T600/DVDRW/K+M/Ubuntu) (42PT3650D13)
